"excel_row","Study_ID","Author_Year","Location_ID","Measured","Order","Family","Common_name","Trophic_Level","Sampling_date","variation","m_g","se_g","n_g","m_c","se_c","n_c","Stratum","Herbivore_origin","Max_size_class","Single_size_class","Response_group","Design","Years_since_exclusion","zero_adjusted","sd_g","sd_c","yi","vi","es_id"
13,"#2201","Wilkerson et al., 2013","LOC26","Abundance","Lepidoptera","Pieridae","Butterfly","Pollinators","06/2007 and 07/2009","SE",3.577544,0.7121916,3,3.487319,0.8893165,3,"Above-ground","Mixed",NA,NA,"Abundance","Exclosure",14,FALSE,1.23355203592377,1.54034136200933,-0.0255432853053062,0.104662303519062,12
14,"#2201","Wilkerson et al., 2013","LOC26","Abundance","Lepidoptera","Pieridae","Butterfly","Pollinators","06/2007 and 07/2009","SE",2.0730985,0.7086313,3,3.487319,0.8893165,3,"Above-ground","Native","Mega",NA,"Abundance","Exclosure",14,FALSE,1.22738541543358,1.54034136200933,0.520088898156504,0.181874820717974,13
15,"#1662","Virtanen et al., 2008","LOC10","Abundance",NA,NA,"Nematodes","Decomposers","44075","SE",24,4,6,32,5,6,"Below-ground","Native","Large",NA,"Abundance","Exclosure",25,FALSE,9.79795897113271,12.2474487139159,0.287682072451781,0.0521918402777778,14
16,"#1662","Virtanen et al., 2008","LOC10","Abundance",NA,NA,"Enchytraeids","Decomposers","44075","SE",1.2,0.3,6,1.9,0.7,6,"Below-ground","Native","Large",NA,"Abundance","Exclosure",25,FALSE,0.734846922834953,1.71464281994822,0.45953232937844,0.198234072022161,15
17,"#1662","Virtanen et al., 2008","LOC10","Abundance",NA,NA,"Nematodes","Decomposers","44075","SE",47,11,6,30,4,6,"Below-ground","Native","Large",NA,"Abundance","Exclosure",35,FALSE,26.944387170615,9.79795897113271,-0.448950220047903,0.0725536944821689,16
18,"#1662","Virtanen et al., 2008","LOC10","Abundance",NA,NA,"Enchytraeids","Decomposers","44075","SE",1.4,0.5,6,1.3,0.4,6,"Below-ground","Native","Large",NA,"Abundance","Exclosure",35,FALSE,1.22474487139159,0.979795897113271,-0.0741079721537217,0.222225576621181,17
19,"#1393","Wang et al., 2021","LOC38","Abundance","Orthoptera",NA,NA,"Herbivores","07/2009 to 08/2009","SE",1226.9136591,44.7212442,3,863.2451545,29.4347514,3,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",1,FALSE,77.459467132095,50.9824849329591,-0.35155835158906,0.00249127607473533,18
20,"#1393","Wang et al., 2021","LOC38","Abundance","Orthoptera",NA,NA,"Herbivores","07/2009 to 08/2009","SE",282.6920793,2.994681,3,460.0768516,18.6109316,3,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",1,FALSE,5.18693964446117,32.2350791073891,0.487035297957666,0.00174856813889494,19
21,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",18.9984135885872,6.67784769289726,9,27.0785497867818,6.62437291377982,9,"Ground & litter-dwelling","Native",NA,NA,"Abundance","Exclosure",4,FALSE,20.0335430786918,19.8731187413395,0.35438641334173,0.183395244443529,20
22,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",24.679106481601,4.64713556985544,9,27.0785497867818,6.62437291377982,9,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",4,FALSE,13.9414067095663,19.8731187413395,0.0927848994519925,0.0953043008421857,21
23,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",26.9050205410471,3.73842307434584,9,27.0785497867818,6.62437291377982,9,"Ground & litter-dwelling","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,11.2152692230375,19.8731187413395,0.00642898727784301,0.0791532954901074,22
24,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",34.2192416119658,8.85854194975978,9,37.0445716912652,4.93819815800022,9,"Ground & litter-dwelling","Native",NA,NA,"Abundance","Exclosure",4,FALSE,26.5756258492793,14.8145944740007,0.0793337218616862,0.0847868250700053,23
25,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",34.6772219931191,6.26966560527359,9,37.0445716912652,4.93819815800022,9,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",4,FALSE,18.8089968158208,14.8145944740007,0.0660387832525353,0.0504589070133113,24
26,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",31.7858377445333,9.80987342171538,9,37.0445716912652,4.93819815800022,9,"Ground & litter-dwelling","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,29.4296202651461,14.8145944740007,0.153100991310624,0.113018811565794,25
27,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",4.8863373577787,0.675013043151344,9,4.88989249779873,0.349970662701784,9,"Ground & litter-dwelling","Native",NA,NA,"Richness","Exclosure",4,FALSE,2.02503912945403,1.04991198810535,0.000727302902910898,0.0242057696652815,26
28,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",4.77578783767268,0.398880717443813,9,4.88989249779873,0.349970662701784,9,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",4,FALSE,1.19664215233144,1.04991198810535,0.0236113666491473,0.0120981281730036,27
29,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",4.66241288898361,0.669582538146604,9,4.88989249779873,0.349970662701784,9,"Ground & litter-dwelling","Native","Medium",NA,"Richness","Exclosure",4,FALSE,2.00874761443981,1.04991198810535,0.0476372176874014,0.0257469548496728,28
30,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",3.2161444,0.7272131,9,3.7789081,0.6328561,9,"Ground & litter-dwelling","Native",NA,NA,"Richness","Exclosure",4,FALSE,2.1816393,1.8985683,0.16125185466261,0.0791736453056425,29
31,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",3.3257091,0.7132875,9,3.7789081,0.6328561,9,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",4,FALSE,2.1398625,1.8985683,0.127752190940487,0.0740467148883432,30
32,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",4.5549199,0.4406392,9,3.7789081,0.6328561,9,"Ground & litter-dwelling","Native","Medium",NA,"Richness","Exclosure",4,FALSE,1.3219176,1.8985683,-0.186772840017107,0.0374048783840383,31
33,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",37.4199263191828,10.2689935440914,9,50.5354072571857,15.01157758512,9,"Ground & litter-dwelling","Native",NA,NA,"Abundance","Exclosure",4,FALSE,30.8069806322742,45.03473275536,0.300470872585862,0.163548636827894,32
34,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",28.5631396490484,7.69355195246764,9,50.5354072571857,15.01157758512,9,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",4,FALSE,23.0806558574029,45.03473275536,0.570557161288786,0.160789860446899,33
35,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",40.6274423323373,12.8239442081207,9,50.5354072571857,15.01157758512,9,"Ground & litter-dwelling","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,38.4718326243621,45.03473275536,0.218230466614823,0.187872357190544,34
36,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",50.9319560029496,15.7927874940537,9,54.2128867826309,13.3647919920147,9,"Ground & litter-dwelling","Native",NA,NA,"Abundance","Exclosure",4,FALSE,47.3783624821611,40.0943759760441,0.0624280978297427,0.156921463790557,35
37,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",57.8467674876119,15.1143586220023,9,54.2128867826309,13.3647919920147,9,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",4,FALSE,45.3430758660069,40.0943759760441,-0.0648789308940301,0.129042853071889,36
38,"#1355","Wang et al., 2018","LOC17","Abundance","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",81.6335156403164,30.2918579312532,9,54.2128867826309,13.3647919920147,9,"Ground & litter-dwelling","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,90.8755737937596,40.0943759760441,-0.409321264827941,0.198468150949134,37
39,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",3.4353019,0.2975631,9,4.1143806,0.5826782,9,"Ground & litter-dwelling","Native",NA,NA,"Richness","Exclosure",4,FALSE,0.8926893,1.7480346,0.180383489134293,0.0275590838916874,38
40,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",3.7762518,0.4027713,9,4.1143806,0.5826782,9,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",4,FALSE,1.2083139,1.7480346,0.0857563699386639,0.0314323438296471,39
41,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Herbivores","41518","SE",4.1115659,0.5629347,9,4.1143806,0.5826782,9,"Ground & litter-dwelling","Native","Medium",NA,"Richness","Exclosure",4,FALSE,1.6888041,1.7480346,0.000684346806741379,0.0388018924356846,40
42,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",5.1041631,0.3597148,9,4.6623677,0.4111897,9,"Ground & litter-dwelling","Native",NA,NA,"Richness","Exclosure",4,FALSE,1.0791444,1.2335691,-0.0905330916288559,0.012744757603957,41
43,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",4.3298403,0.3766128,9,4.6623677,0.4111897,9,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",4,FALSE,1.1298384,1.2335691,0.0739927501150831,0.0153437148137325,42
44,"#1355","Wang et al., 2018","LOC17","Richness","Coleoptera","Carabidae","Ground beetles","Carnivores","41518","SE",4.6636648,0.6676029,9,4.6623677,0.4111897,9,"Ground & litter-dwelling","Native","Medium",NA,"Richness","Exclosure",4,FALSE,2.0028087,1.2335691,-0.00027816759342502,0.0282699407402378,43
45,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Herbivores","07/2008 to 10/2008","SE",885.063,72.686,9,603.033,67.327,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,218.058,201.981,-0.383686907317061,0.0192096702287984,44
46,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Herbivores","07/2008 to 10/2008","SE",434.356,82.953,9,384.997,86.11,9,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",2,FALSE,248.859,258.33,-0.120628932305564,0.0864987096860512,45
47,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Herbivores","07/2008 to 10/2008","SE",579.286,131.43,9,384.997,86.11,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,394.29,258.33,-0.408560768662695,0.101501402591925,46
48,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Herbivores","07/2008 to 10/2008","SE",791.609,203.762,9,384.997,86.11,9,"Above-ground","Domestic",NA,NA,"Abundance","Exclosure",2,FALSE,611.286,258.33,-0.720832040992621,0.116281579712866,47
49,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Herbivores","07/2008 to 10/2008","SE",590.031,133.415,9,384.997,86.11,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,400.245,258.33,-0.426939535842712,0.101153721767249,48
50,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Predator","07/2008 to 10/2008","SE",22.9853447,3.840831,9,32.7954211,6.6585207,9,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",2,FALSE,11.522493,19.9755621,0.355432079152526,0.0691441202360118,49
51,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Predator","07/2008 to 10/2008","SE",28.0615994,6.090442,9,32.7954211,6.6585207,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,18.271326,19.9755621,0.155886832698111,0.0883276287851994,50
52,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Predator","07/2008 to 10/2008","SE",52.931399,6.6864847,9,32.7954211,6.6585207,9,"Above-ground","Domestic",NA,NA,"Abundance","Exclosure",2,FALSE,20.0594541,19.9755621,-0.478707811620792,0.0571796535570629,51
53,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Predator","07/2008 to 10/2008","SE",24.2056455,3.0472702,9,32.7954211,6.6585207,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,9.1418106,19.9755621,0.303703013955406,0.0570705180867343,52
54,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Detritivore","07/2008 to 10/2008","SE",1.565522,0.5225551,9,0.8912913,0.3097544,9,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",2,FALSE,1.5676653,0.9292632,-0.563303283620115,0.232195725030151,53
55,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Detritivore","07/2008 to 10/2008","SE",1.8985785,0.52138,9,0.8912913,0.3097544,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,1.56414,0.9292632,-0.7561894171842,0.196194106994786,54
56,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Detritivore","07/2008 to 10/2008","SE",3.5594522,1.1920724,9,0.8912913,0.3097544,9,"Above-ground","Domestic",NA,NA,"Abundance","Exclosure",2,FALSE,3.5762172,0.9292632,-1.38469062553559,0.232940410620128,55
57,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Detritivore","07/2008 to 10/2008","SE",0.4533074,0.2271096,9,0.8912913,0.3097544,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,0.6813288,0.9292632,0.676100827522492,0.371786899957278,56
58,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Parasitoid","07/2008 to 10/2008","SE",0.9979485,0.4363564,9,3.3255525,0.9873021,9,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",2,FALSE,1.3090692,2.9619063,1.20368943292599,0.279330448152971,57
59,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Parasitoid","07/2008 to 10/2008","SE",3.6724006,0.5418667,9,3.3255525,0.9873021,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,1.6256001,2.9619063,-0.0992097369508817,0.109911213367375,58
60,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Parasitoid","07/2008 to 10/2008","SE",3.7796231,0.6582778,9,3.3255525,0.9873021,9,"Above-ground","Domestic",NA,NA,"Abundance","Exclosure",2,FALSE,1.9748334,2.9619063,-0.127988469948107,0.1184733136474,59
61,"#1123","Wang et al., 2012","LOC38","Abundance",NA,NA,NA,"Parasitoid","07/2008 to 10/2008","SE",1.7771254,0.6726726,9,3.3255525,0.9873021,9,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,2.0180178,2.9619063,0.626638710661061,0.231415190447391,60
62,"#1013","Zhang et al., 2022","LOC33","Abundance","Nematoda",NA,"Nematodes","Bacterial feeders","43556","SE",13.2307692307692,2.1538461538461,3,10.8571428571428,1.1428571428572,3,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",9,FALSE,3.73057097014826,1.97948663722167,-0.197721928120901,0.0375811436592962,61
63,"#1013","Zhang et al., 2022","LOC33","Abundance","Nematoda",NA,"Nematodes","Fungal feeders","43556","SE",1.74449339207048,0.42290748898678,3,3.13656387665198,0.47577092511013,3,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",9,FALSE,0.732497257826478,0.824059415054793,0.586663700157497,0.0817779718429305,62
64,"#1013","Zhang et al., 2022","LOC33","Abundance","Nematoda",NA,"Nematodes","Algal feeders","43556","SE",0.0827814569536424,0.0662251655629136,3,1.48454746136865,0.46909492273731,3,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",9,FALSE,0.114705351494627,0.812496239753618,2.88666117849963,0.739846602451592,63
65,"#1013","Zhang et al., 2022","LOC33","Abundance","Nematoda",NA,"Nematodes","Herbivores","43556","SE",24.669603524229,2.6431718061674,3,26.6960352422907,3.4361233480176,3,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",9,FALSE,4.57810786141553,5.95154021984016,0.0789432023401207,0.0280465950717115,64
66,"#1013","Zhang et al., 2022","LOC33","Abundance","Nematoda",NA,"Nematodes","Predator","43556","SE",9.2511013215859,1.5969162995594,3,13.3810572687224,1.8722466960353,3,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",9,FALSE,2.76594016627176,3.24282640183611,0.369097463937285,0.0493742971074512,65
67,"#1013","Zhang et al., 2022","LOC33","Richness","Nematoda",NA,"Nematodes",NA,"43556","SE",32.67,1.33,3,27.44,1.3,3,"Below-ground","Domestic","Large","Large","Richness","Exclosure",9,FALSE,2.30362757406661,2.25166604983954,-0.174455422755294,0.00390180903229986,66
68,"#1013","Zhang et al., 2022","LOC33","Diversity","Nematoda",NA,"Nematodes",NA,"43556","SE",2.8,0.03,3,3.09,0.06,3,"Below-ground","Domestic","Large","Large","Diversity","Exclosure",9,FALSE,0.0519615242270663,0.103923048454133,0.0985516737284959,0.000491834282020849,67
69,"#1289","Van der Plas 2014","LOC28","Richness","Orthoptera<U+00A0>",NA,NA,"Herbivores","January-May 2010","SE",11.13,0.833,8,11.25,1.411,8,"Above-ground","Native","Mega","Mega","Richness","Exclosure",10,FALSE,2.35607979491358,3.99091067301687,0.0107239633629756,0.0213321736436235,68
70,"#1289","Van der Plas 2014","LOC28","Richness","Orthoptera<U+00A0>",NA,NA,"Herbivores","January-May 2010","SE",12.75,0.818,8,11.25,1.411,8,"Above-ground","Native","Mega",NA,"Richness","Exclosure",10,FALSE,2.31365338804238,3.99091067301687,-0.125163142954006,0.0198468368644538,69
71,"#1289","Van der Plas 2014","LOC28","Abundance","Orthoptera<U+00A0>",NA,NA,"Herbivores","January-May 2010","SE",55.13,17.326,8,57,17.624,8,"Above-ground","Native","Mega","Mega","Abundance","Exclosure",10,FALSE,49.0053283633525,49.8481996465269,0.033357235232958,0.194369295498989,70
72,"#1289","Van der Plas 2014","LOC28","Abundance","Orthoptera<U+00A0>",NA,NA,"Herbivores","January-May 2010","SE",49.25,6.7,8,57,17.624,8,"Above-ground","Native","Mega",NA,"Abundance","Exclosure",10,FALSE,18.9504617357995,49.8481996465269,0.146141900216452,0.114107347734504,71
73,"#1157","Vandegehuchte et al., 2018","LOC17","Abundance","Hemiptera","Fulgoromorpha and Cicadomorpha (multiple families)","Leaf hoppers","Herbivore","June-September 2013","SE",19.222,3.774,9,39.444,9.606,9,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",4,FALSE,11.322,28.818,0.71882648806899,0.0978577892998328,72
74,"#1157","Vandegehuchte et al., 2018","LOC17","Abundance","Hemiptera","Fulgoromorpha and Cicadomorpha (multiple families)","Leaf hoppers","Herbivore","June-September 2013","SE",32.333,12.136,9,39.444,9.606,9,"Above-ground","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,36.408,28.818,0.198793563966301,0.200192538819429,73
75,"#1157","Vandegehuchte et al., 2018","LOC17","Abundance","Hemiptera","Fulgoromorpha and Cicadomorpha (multiple families)","Leaf hoppers","Herbivore","June-September 2013","SE",14.444,2.714,9,39.444,9.606,9,"Above-ground","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,8.142,28.818,1.00460284105487,0.0946150555617223,74
76,"#1157","Vandegehuchte et al., 2018","LOC17","Abundance","Hemiptera","Fulgoromorpha and Cicadomorpha (multiple families)","Leaf hoppers","Herbivore","June-September 2013","SE",31.889,5.796,9,32.444,5.895,9,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",4,FALSE,17.388,17.685,0.0172544034702094,0.0660491009734001,75
77,"#1157","Vandegehuchte et al., 2018","LOC17","Abundance","Hemiptera","Fulgoromorpha and Cicadomorpha (multiple families)","Leaf hoppers","Herbivore","June-September 2013","SE",41.556,9.183,9,32.444,5.895,9,"Above-ground","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,27.549,17.685,-0.247526389000187,0.0818457352720768,76
78,"#1157","Vandegehuchte et al., 2018","LOC17","Abundance","Hemiptera","Fulgoromorpha and Cicadomorpha (multiple families)","Leaf hoppers","Herbivore","June-September 2013","SE",24.667,4.972,9,32.444,5.895,9,"Above-ground","Native","Medium",NA,"Abundance","Exclosure",4,FALSE,14.916,17.685,0.274049208249831,0.0736424384057995,77
79,"#1021","Vaisanen et al., 2025","LOC09","Abundance","Sarcoptiformes","Oribatida","Oribatid mites","Decomposers","44770","SE",25684.124,4338.759,12,22971.22,3940.736,12,"Below-ground","Native","Large",NA,"Abundance","Exclosure",28,FALSE,15029.9020595935,13651.1099424315,-0.11163092978223,0.0579663039066617,78
80,"#1022","Vaisanen et al., 2026","LOC09","Abundance","Sarcoptiformes","Oribatida","Oribatid mites","Decomposers","44770","SE",25684.124,4338.759,12,24866.499,4471.42,11,"Below-ground","Native","Large",NA,"Abundance","Exclosure",3,FALSE,15029.9020595935,14830.0224200909,-0.0323515819370451,0.0608707190802057,79
81,"#1603","Torma et al., 2023","LOC13","Richness",NA,NA,"Ground beetle","Predator","May-June 2018","SE",13.5859882522141,1.6303361446082,3,13.937353800621,1.4054621936278,3,"Ground & litter-dwelling","Domestic","Large","Large","Richness","Exclosure",0,FALSE,2.82382503587736,2.43433192748056,0.0255335734529588,0.0245692969589909,80
82,"#1603","Torma et al., 2023","LOC13","Richness",NA,NA,"Spider","Predator","May-June 2018","SE",18.9621181599848,1.7626088015665,3,20.221124446818,1.1750725343777,3,"Ground & litter-dwelling","Domestic","Large","Large","Richness","Exclosure",0,FALSE,3.05292799818127,2.0352853321209,0.064284614784408,0.0120173902714815,81
83,"#1603","Torma et al., 2023","LOC13","Richness",NA,NA,"Plant Hopper","Herbivore","May-June 2018","SE",11.5759479438963,1.13310565815,3,10.2330079046075,1.678675049111,3,"Above-ground","Domestic","Large","Large","Richness","Exclosure",0,FALSE,1.96259657025957,2.90755047445843,-0.123310927853299,0.0364921743076344,82
84,"#1603","Torma et al., 2023","LOC13","Richness",NA,NA,"Ground beetle","Predator","May-June 2018","SE",8.57916973363442,1.03217143500025,3,7.32437308716351,1.07264874617675,3,"Ground & litter-dwelling","Domestic","Large","Large","Richness","Exclosure",0,FALSE,1.78777336754171,1.85788212705318,-0.15812957530558,0.0359221941864918,83
85,"#1603","Torma et al., 2023","LOC13","Richness",NA,NA,"Spider","Predator","May-June 2018","SE",14.3674252318711,1.3357512688239,3,15.2174487665772,1.5583764802945,3,"Ground & litter-dwelling","Domestic","Large","Large","Richness","Exclosure",0,FALSE,2.31358906387758,2.69918724119044,0.057479207226579,0.0191308096803551,84
86,"#1603","Torma et al., 2023","LOC13","Richness",NA,NA,"Plant Hopper","Herbivore","May-June 2018","SE",11.1899563045174,0.6476369788237,3,11.2506722712821,0.829784879117899,3,"Above-ground","Domestic","Large","Large","Richness","Exclosure",0,FALSE,1.12174015218306,1.4372295699846,0.005411266864977,0.00878939366714592,85
87,"#1603","Torma et al., 2023","LOC13","Abundance",NA,NA,"Ground beetle","Predator","May-June 2018","SE",140.906269397889,60.348989585489,3,140.259673080902,65.090695910063,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",0,FALSE,104.527516147512,112.740392416245,-0.00459940098828492,0.398797345984072,86
